Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Home,Neutral,Away,Numot,Win
2003,134,2003_1421,92,2003_1411,84,N,0,1,0,1,1
2003,136,2003_1112,80,2003_1436,51,N,0,1,0,0,1
2003,136,2003_1113,84,2003_1272,71,N,0,1,0,0,1
2003,136,2003_1141,79,2003_1166,73,N,0,1,0,0,1
2003,136,2003_1143,76,2003_1301,74,N,0,1,0,1,1
2003,136,2003_1163,58,2003_1140,53,N,0,1,0,0,1
2003,136,2003_1181,67,2003_1161,57,N,0,1,0,0,1
2003,136,2003_1211,74,2003_1153,69,N,0,1,0,0,1
2003,136,2003_1228,65,2003_1443,60,N,0,1,0,0,1
2003,136,2003_1242,64,2003_1429,61,N,0,1,0,0,1
2003,136,2003_1266,72,2003_1221,68,N,0,1,0,0,1
2003,136,2003_1281,72,2003_1356,71,N,0,1,0,0,1
2003,136,2003_1323,70,2003_1454,69,N,0,1,0,0,1
2003,136,2003_1328,71,2003_1354,54,N,0,1,0,0,1
2003,136,2003_1390,77,2003_1360,69,N,0,1,0,0,1
2003,136,2003_1409,84,2003_1173,71,N,0,1,0,0,1
2003,136,2003_1458,81,2003_1451,74,N,0,1,0,0,1
2003,137,2003_1120,65,2003_1386,63,N,0,1,0,1,1
2003,137,2003_1139,47,2003_1280,46,N,0,1,0,0,1
2003,137,2003_1196,85,2003_1358,55,N,0,1,0,0,1
2003,137,2003_1231,67,2003_1104,62,N,0,1,0,0,1
2003,137,2003_1246,95,2003_1237,64,N,0,1,0,0,1
2003,137,2003_1257,86,2003_1122,64,N,0,1,0,0,1
2003,137,2003_1268,75,2003_1423,73,N,0,1,0,0,1
2003,137,2003_1277,79,2003_1160,64,N,0,1,0,0,1
2003,137,2003_1329,77,2003_1335,63,N,0,1,0,0,1
2003,137,2003_1338,87,2003_1447,61,N,0,1,0,0,1
2003,137,2003_1345,80,2003_1261,56,N,0,1,0,0,1
2003,137,2003_1393,76,2003_1264,65,N,0,1,0,0,1
2003,137,2003_1400,82,2003_1421,61,N,0,1,0,0,1
2003,137,2003_1428,60,2003_1332,58,N,0,1,0,0,1
2003,137,2003_1448,76,2003_1190,73,N,0,1,0,0,1
2003,137,2003_1462,71,2003_1407,59,N,0,1,0,0,1
2003,138,2003_1112,96,2003_1211,95,N,0,1,0,2,1
2003,138,2003_1163,85,2003_1390,74,N,0,1,0,0,1
2003,138,2003_1181,86,2003_1141,60,N,0,1,0,0,1
2003,138,2003_1242,108,2003_1113,76,N,0,1,0,0,1
2003,138,2003_1266,101,2003_1281,92,N,0,1,0,1,1
2003,138,2003_1323,68,2003_1228,60,N,0,1,0,0,1
2003,138,2003_1328,74,2003_1143,65,N,0,1,0,0,1
2003,138,2003_1458,61,2003_1409,60,N,0,1,0,0,1
2003,139,2003_1120,68,2003_1448,62,N,0,1,0,0,1
2003,139,2003_1139,79,2003_1257,71,N,0,1,0,0,1
2003,139,2003_1246,74,2003_1428,54,N,0,1,0,0,1
2003,139,2003_1268,77,2003_1462,64,N,0,1,0,0,1
2003,139,2003_1277,68,2003_1196,46,N,0,1,0,0,1
2003,139,2003_1338,74,2003_1231,52,N,0,1,0,0,1
2003,139,2003_1393,68,2003_1329,56,N,0,1,0,0,1
2003,139,2003_1400,77,2003_1345,67,N,0,1,0,0,1
2003,143,2003_1112,88,2003_1323,71,N,0,1,0,0,1
2003,143,2003_1242,69,2003_1181,65,N,0,1,0,0,1
2003,143,2003_1246,63,2003_1458,57,N,0,1,0,0,1
2003,143,2003_1266,77,2003_1338,74,N,0,1,0,0,1
2003,144,2003_1277,60,2003_1268,58,N,0,1,0,0,1
2003,144,2003_1328,65,2003_1139,54,N,0,1,0,0,1
2003,144,2003_1393,79,2003_1120,78,N,0,1,0,0,1
2003,144,2003_1400,82,2003_1163,78,N,0,1,0,0,1
2003,145,2003_1242,78,2003_1112,75,N,0,1,0,0,1
2003,145,2003_1266,83,2003_1246,69,N,0,1,0,0,1
2003,146,2003_1393,63,2003_1328,47,N,0,1,0,0,1
2003,146,2003_1400,85,2003_1277,76,N,0,1,0,0,1
2003,152,2003_1242,94,2003_1266,61,N,0,1,0,0,1
2003,152,2003_1393,95,2003_1400,84,N,0,1,0,0,1
2003,154,2003_1393,81,2003_1242,78,N,0,1,0,0,1
2004,134,2004_1197,72,2004_1250,57,N,0,1,0,0,1
2004,136,2004_1104,65,2004_1356,64,N,0,1,0,0,1
2004,136,2004_1163,70,2004_1436,53,N,0,1,0,0,1
2004,136,2004_1177,76,2004_1173,69,N,0,1,0,2,1
2004,136,2004_1181,96,2004_1106,61,N,0,1,0,0,1
2004,136,2004_1211,76,2004_1434,49,N,0,1,0,0,1
2004,136,2004_1264,75,2004_1196,60,N,0,1,0,0,1
2004,136,2004_1268,86,2004_1431,83,N,0,1,0,0,1
2004,136,2004_1305,72,2004_1277,66,N,0,1,0,0,1
2004,136,2004_1314,63,2004_1102,52,N,0,1,0,0,1
2004,136,2004_1371,80,2004_1112,76,N,0,1,0,0,1
2004,136,2004_1386,82,2004_1251,63,N,0,1,0,0,1
2004,136,2004_1390,71,2004_1427,45,N,0,1,0,0,1
2004,136,2004_1393,80,2004_1140,75,N,0,1,0,0,1
2004,136,2004_1400,66,2004_1343,49,N,0,1,0,0,1
2004,136,2004_1403,76,2004_1150,73,N,0,1,0,0,1
2004,136,2004_1448,79,2004_1433,78,N,0,1,0,0,1
2004,137,2004_1130,58,2004_1428,51,N,0,1,0,0,1
2004,137,2004_1153,80,2004_1190,77,N,0,1,0,0,1
2004,137,2004_1210,65,2004_1320,60,N,0,1,0,0,1
2004,137,2004_1228,72,2004_1293,53,N,0,1,0,0,1
2004,137,2004_1242,78,2004_1227,53,N,0,1,0,0,1
2004,137,2004_1246,96,2004_1197,76,N,0,1,0,0,1
2004,137,2004_1272,59,2004_1376,43,N,0,1,0,0,1
2004,137,2004_1280,85,2004_1284,52,N,0,1,0,0,1
2004,137,2004_1301,61,2004_1418,52,N,0,1,0,0,1
2004,137,2004_1329,75,2004_1186,56,N,0,1,0,0,1
2004,137,2004_1334,66,2004_1344,58,N,0,1,0,0,1
